url,0,1,2,3,4,high_carb,high_protein,high_fat,high_sodium,high_sugar
https://glebekitchen.com/miso-chicken-with-maple-and-ginger/,0.03785510786445576,0.009868418530513843,0.0038854431793617786,-0.030605125360581072,-0.026932230790744825,0.0,1.0,0.0,0.0,0.0
https://glebekitchen.com/tonkotsu-ramen-home/,0.061890265468373416,0.04019762117001722,0.05527768779740031,-0.006314445770867192,-0.011629744477129018,1.0,1.0,1.0,1.0,1.0
https://glebekitchen.com/garlic-ginger-grilled-chicken/,-0.027368201747551144,0.0025506665249959825,-0.011157521318758683,0.0006561843906222858,-0.013406880200424956,0.0,1.0,1.0,1.0,0.0
https://glebekitchen.com/tonkotsu-ramen-broth-home/,0.05436873066767838,0.012349650247737695,0.08377670110134755,0.07444433818116926,0.02743298179996508,0.0,0.2590163934426229,0.2612982744453574,0.0,0.17267393126571667
https://glebekitchen.com/japanese-chicken-curry-curry-rice/,0.0116700607836144,0.006859187124964805,-0.04878121700085601,0.0023567931380992437,-0.02510476951556463,0.0,0.0,0.0,1.0,0.0
https://glebekitchen.com/chicken-karaage-japanese-fried-chicken/,0.022924258409541817,0.0009344720947420325,0.027750383122713933,0.0034944445790269308,0.011695594951704148,0.0,1.0,1.0,1.0,0.0
https://glebekitchen.com/curry-chicken-ramen/,0.024026672169922266,0.022520475713819557,0.03264268677789506,-0.005240568434582335,-0.001840910569615989,1.0,1.0,1.0,0.0,0.0
https://glebekitchen.com/sous-vide-steak-tataki-style/,0.021688195817512208,-0.004328574965625231,-0.010652192789288152,0.007494661130268779,-0.01993424229698318,0.0,0.0,0.0,0.0,0.0
https://glebekitchen.com/momofuku-pork-belly/,-0.04788679567524912,0.00858672486979565,0.027378165009238554,0.021166723821426457,0.01982378881597646,0.0,0.0,1.0,1.0,0.0
https://glebekitchen.com/gyudon-japanese-beef-bowl/,0.08050752051091839,0.06924987681580003,0.02111225950116226,-0.062065620641096365,-0.02323239375486811,0.0,1.0,0.0,1.0,1.0
https://glebekitchen.com/japadog-style-terimayo-hot-dog/,-0.02476278786875447,-0.0072921085783678105,0.013322559233518414,-0.019441882136375037,-0.009508761595834601,1.0,0.0,1.0,1.0,1.0
https://glebekitchen.com/japanese-miso-soup/,0.11071223547739527,0.11323510368505979,0.026676570131321225,-0.05931533350170409,-0.04263792395027871,0.0,0.0,0.0,1.0,0.0
https://glebekitchen.com/japanese-chicken-yakitori/,-0.04725637294228647,0.012232473023992304,0.012303627760146731,-0.015043150609239908,-0.0013036006348602141,0.0,0.0,0.0,0.0,0.0
https://glebekitchen.com/miso-ramen-with-chashu-pork/,0.06087018561900492,0.03767110961925788,0.05772065054859602,-0.003640661680091131,-0.007885856385277893,1.0,1.0,1.0,1.0,1.0
https://glebekitchen.com/30-minute-curry-ramen/,0.041390550971648725,0.025704793983518395,0.043308424631123006,-0.009932620065842702,-0.007112307861418851,0.0,1.0,0.0,1.0,0.0
