url,0,1,2,3,4,high_carb,high_protein,high_fat,high_sodium,high_sugar
https://mykoreankitchen.com/spicy-mayo-recipe/,-0.00864627046548591,0.0023739763128629516,-0.012461729390113783,0.0003062563069392182,0.0012423503742133711,0.0,0.0,0.0,0.0,0.0
https://mykoreankitchen.com/strawberry-milk/,0.02885745395162224,0.04478348954325416,-0.019576749811525608,-0.009241070820736212,0.013501798365061728,1.0,0.0,0.0,0.0,1.0
https://mykoreankitchen.com/dakgangjeong-soy-garlic-fried-chicken/,-0.0029779124130870542,-0.011553209448913082,-0.0076231173315374585,-0.00015481379759958733,0.003368922690776998,1.0,1.0,0.0,1.0,1.0
https://mykoreankitchen.com/chili-oil-recipe/,0.008719203709764416,-0.031082364673424918,-0.007562235070966506,-0.006527293754223818,-0.0038624959705590867,1.0,0.0,1.0,1.0,1.0
https://mykoreankitchen.com/dalgona-coffee-whipped-coffee/,0.032552472782487546,0.049378590661349704,-0.023987573881995117,-0.012573212647248424,0.015033143057750796,0.0,0.0,0.0,0.0,1.0
https://mykoreankitchen.com/omelet-rice-omurice/,-0.008266894821437647,-0.0035402709657409302,-0.0023861861456482393,-0.002174585329663045,-0.001517073904799231,1.0,1.0,1.0,1.0,1.0
https://mykoreankitchen.com/tuna-pancakes-chamchijeon/,-0.012686268399728492,-0.004946864066882647,-0.0013890770063434092,-0.0007090265398285168,0.002841872629602653,0.0,0.0,0.0,0.0,0.0
https://mykoreankitchen.com/pan-fried-zucchini/,-0.02217115135602659,0.003774216188231519,-0.003346475119291006,-0.0034358950967285406,0.0010409420330720245,0.0,0.0,0.0,0.0,0.0
https://mykoreankitchen.com/slow-cooker-short-ribs/,0.004368819349588117,-0.021413653953835664,-0.00825938626884814,-0.008341502554144639,-0.0030659801140274744,1.0,0.0,0.0,1.0,1.0
https://mykoreankitchen.com/korean-ground-beef-rice-bowls/,0.0023079179113793496,-0.018890486845614278,-0.004687105350250078,-0.003911126753937408,0.0001341026743207776,0.0,0.0,1.0,0.0,1.0
https://mykoreankitchen.com/doenjang-jjigae/,5.700952335501035e-05,-0.024524876084915447,-0.0032917122048679473,-0.001196661230368721,0.005646727355477544,0.0,0.0,0.0,0.0,0.0
https://mykoreankitchen.com/spicy-sweet-and-vinegary-noodles-bibim-guksu/,0.00530839989736335,-0.01883871947480538,-0.008517607732760935,-0.005976002472848453,-0.0029840454896411924,1.0,0.0,0.0,1.0,1.0
https://mykoreankitchen.com/galbitang-beef-short-rib-soup/,-0.0002791772710890999,-0.008012328613081637,0.028301445840279313,-0.013143051732554508,-0.004220625942907852,0.0,1.0,0.0,1.0,0.0
https://mykoreankitchen.com/nuclear-fire-noodle-fries/,-0.0012701360415708156,-0.031950566983337314,-0.017795316554500923,-0.019494418873193354,-0.008407305233464385,1.0,0.0,1.0,1.0,0.0
https://mykoreankitchen.com/kimchi-jjim-braised-kimchi/,-0.0007117433456258371,-0.016927123414027814,-0.005487272916164519,0.0021562821139600153,0.0051163067460126485,0.0,0.0,0.0,0.0,0.0
https://mykoreankitchen.com/air-fryer-chicken-wings/,0.0008682300645969852,-0.016168079630971815,-0.009634234488012969,-0.005366146021284079,-0.0010895076551333332,0.0,0.0,0.0,1.0,1.0
https://mykoreankitchen.com/pickled-radishes/,-0.023095009023433394,0.006227927260927716,-0.012798553995669176,0.004222415639209725,0.0055621184135155235,0.0,0.0,0.0,0.0,0.0
https://mykoreankitchen.com/air-fryer-chickpeas/,0.010945794466872851,-0.035993749746559375,-0.012197959357514762,-0.01696595835581668,-0.008203533353262054,0.0,0.0,0.0,0.0,0.0
https://mykoreankitchen.com/bean-sprout-rice-kongnamul-bap/,-0.001216278133359549,-0.024006301630644683,-0.00868919774078999,-0.006529620013447439,0.0009247205669470782,1.0,0.0,0.0,1.0,0.0
https://mykoreankitchen.com/gochujang-chicken/,0.0023738783238607996,-0.017690072557189115,-0.005795252878665793,-0.0010116677772275394,0.002537445882873938,1.0,1.0,0.0,1.0,1.0
https://mykoreankitchen.com/korean-style-tuna-cakes/,-0.012686268399728492,-0.004946864066882642,-0.0013890770063433753,-0.0007090265398284995,0.0028418726296026557,0.0,0.0,0.0,0.0,0.0
https://www.justonecookbook.com/cherry-blossom-milk-pudding/,-0.009543856093726379,0.015657845035819122,-0.007594061885140238,0.004166416539542844,0.002907546668174489,0.3837837837837838,0.054945054945054944,0.07692307692307693,0.06521739130434782,0.7348066298342542
https://www.justonecookbook.com/easy-apple-pie/,0.0024686543512307687,0.006332867242353366,0.07499505959050749,-0.02732884675123076,-0.014584176552131619,0.3837837837837838,0.054945054945054944,0.07692307692307693,0.06521739130434782,0.7348066298342542
https://www.justonecookbook.com/chocolate-gateau-chocolate-cake/,-0.017632665724105833,0.013419081818956862,0.0026421144992371205,0.001777283897792062,0.0030109734785721816,0.3837837837837838,0.054945054945054944,0.07692307692307693,0.06521739130434782,0.7348066298342542
https://www.justonecookbook.com/matcha-and-white-chocolate-truffles-guest-post-by-with-a-glass/,0.05320398382632472,0.007446668902129142,-0.006264145859260314,0.05389748736332482,-0.05177760041477662,0.3837837837837838,0.054945054945054944,0.07692307692307693,0.06521739130434782,0.7348066298342542
https://www.justonecookbook.com/sesame-cookies/,-0.0077966664300064305,0.004043604077224544,0.039733431720479884,-0.014171005057887058,-0.004766057108496759,0.3837837837837838,0.054945054945054944,0.07692307692307693,0.06521739130434782,0.7348066298342542
