url,title,index,total_time,num_ingredients
https://www.justonecookbook.com/twinkie-minions/,Twinkie minions,378,30,11
https://www.justonecookbook.com/zenzai-red-bean-soup/,Zenzai (oshiruko) - red bean soup with mochi,379,60,8
https://www.justonecookbook.com/chocolate-souffle/,Chocolate souffle,380,50,9
https://www.justonecookbook.com/fruit-jelly/,Fruit jelly,381,120,4
https://www.justonecookbook.com/meyer-lemon-chiffon-cake/,Meyer lemon chiffon cake,382,50,9
https://www.justonecookbook.com/lychee-coconut-sorbet/,Lychee coconut sorbet,383,120,3
https://www.justonecookbook.com/chocolate-covered-strawberries/,Chocolate covered strawberries,384,20,4
https://www.justonecookbook.com/white-bean-paste-shiroan/,White bean paste (shiroan),385,120,3
https://www.justonecookbook.com/green-tea-chiffon-cake/,Green tea chiffon cake,386,50,8
https://www.justonecookbook.com/banana-bread/,Banana bread,221,75,12
https://www.justonecookbook.com/matcha-marble-pound-cake/,Matcha marble pound cake,387,120,8
https://www.justonecookbook.com/matcha-swiss-roll/,Matcha swiss roll (roll cake),388,120,9
https://www.justonecookbook.com/easy-apple-tart/,Easy apple tart,389,40,10
https://www.justonecookbook.com/nougat-and-glace-with-orange-caramel-guest-post-by-mad-about-macarons/,Nougat glacé choux with orange caramel,390,60,19
https://www.justonecookbook.com/black-sesame-ice-cream/,Black sesame ice cream,391,120,9
https://www.justonecookbook.com/mochi-ice-cream/,Mochi ice cream,392,63,6
https://www.justonecookbook.com/blueberry-frozen-yogurt/,Blueberry frozen yogurt,393,120,6
https://www.justonecookbook.com/mango-lassi-popsicles/,Mango lassi popsicles,394,120,3
https://www.justonecookbook.com/ohagi-botamochi/,Ohagi (botamochi),395,120,9
https://www.justonecookbook.com/almond-cookies/,Almond cookies,396,40,9
https://www.justonecookbook.com/imagawayaki-obanyaki/,Imagawayaki (obanyaki),397,50,8
https://www.justonecookbook.com/kabocha-squash-pie/,Kabocha pie,398,120,13
https://www.justonecookbook.com/strawberry-daifuku/,Strawberry mochi (ichigo daifuku),399,43,6
https://www.justonecookbook.com/no-bake-creme-caramel/,No-bake creme caramel (japanese purin),400,50,10
https://www.justonecookbook.com/strawberry-frozen-yogurt/,Strawberry frozen yogurt,401,120,6
https://www.justonecookbook.com/meyer-lemon-pound-cake/,Meyer lemon pound cake,402,75,16
https://www.justonecookbook.com/green-tea-mochi/,Green tea mochi,403,63,11
https://www.justonecookbook.com/soy-sauce-caramel-ice-cream/,Soy sauce caramel ice cream,404,120,11
https://www.justonecookbook.com/tsukimi-dango/,Tsukimi dango,405,60,3
https://www.justonecookbook.com/japanese-strawberry-shortcake/,Japanese strawberry shortcake,406,120,14
https://www.justonecookbook.com/sata-andagi/,Sata andagi,220,100,7
https://www.justonecookbook.com/green-tea-pudding/,Green tea pudding,407,120,7
https://www.justonecookbook.com/coffee-jelly/,Coffee jelly,408,120,4
https://www.justonecookbook.com/red-bean-ice-cream/,Azuki red bean ice cream,409,120,4
https://www.justonecookbook.com/chocolate-almond-toffee/,Chocolate almond toffee,410,120,7
https://www.justonecookbook.com/pon-de-ring-donut-recipe/,Pon de ring donut,411,120,14
https://www.justonecookbook.com/green-tea-ice-cream-matcha-ice-cream/,Matcha green tea ice cream,412,120,4
https://www.justonecookbook.com/japanese-sweet-potato/,Japanese sweet potato (dessert),413,105,8
https://www.justonecookbook.com/earl-grey-chiffon-cake/,Earl grey chiffon cake,414,55,8
https://www.justonecookbook.com/green-tea-chocolate/,Green tea chocolate,415,30,4
https://www.justonecookbook.com/instant-pot-kabocha-flan/,Instant pot kabocha flan,416,120,9
https://www.justonecookbook.com/flambeed-pear-purses-with-caramel-sauce-and-ganache-guest-post-by-five-euro-food/,Flambéed pear purses with caramel sauce and ganâche,417,30,11
https://www.justonecookbook.com/mizu-yokan/,Mizu yokan,418,120,5
https://www.justonecookbook.com/mini-fruit-puff-pastry-with-lemon-glaze/,Mini fruit puff pastry with lemon glaze,206,50,7
https://www.justonecookbook.com/custard-pudding/,Custard pudding,419,120,7
https://www.justonecookbook.com/ume-shaved-ice/,Ume shaved ice,420,10,3
https://www.justonecookbook.com/orange-jelly/,Orange jelly,421,120,5
https://www.justonecookbook.com/sesame-cupcakes-with-honey-meringue-frosting-guest-post-by-t-and-tea-cake/,Sesame cupcakes with honey meringue frosting,422,45,14
https://www.justonecookbook.com/cherry-clafoutis/,Cherry clafoutis,423,90,10
https://www.justonecookbook.com/how-to-make-agar/,How to make agar/kanten,424,50,3
https://www.justonecookbook.com/how-to-make-anko-red-bean-paste/,Sweet red bean paste (tsubuan & koshian),425,120,4
https://www.justonecookbook.com/cherry-bars/,Cherry bars,426,60,14
https://www.justonecookbook.com/mango-ice-cream/,Mango ice cream,427,120,5
https://www.justonecookbook.com/green-tea-souffle/,Green tea souffle,428,90,11
https://www.justonecookbook.com/matcha-basque-cheesecake/,Matcha basque burnt cheesecake,429,120,9
https://www.justonecookbook.com/simple-crepes/,Simple crepes,430,40,9
https://www.justonecookbook.com/taro-tapioca-dessert-soup/,Taro tapioca dessert soup,431,60,4
https://www.justonecookbook.com/fruit-popsicles/,Fruit popsicles,432,120,7
