,0,1,2,3,4,5,6,7,8,9
https://glebekitchen.com/miso-chicken-with-maple-and-ginger/,-0.030270114541053772,-0.05589345470070839,-0.017842071130871773,-0.026781560853123665,0.027044013142585754,-0.03388015553355217,0.02994517609477043,0.008557533845305443,0.015077103860676289,0.022073611617088318
https://glebekitchen.com/tonkotsu-ramen-home/,-0.04264017939567566,-0.07033123821020126,-0.02112780697643757,-0.03581131622195244,0.0348224863409996,-0.033868495374917984,0.033494558185338974,-0.00041614178917370737,0.0006407664041034877,0.019839894026517868
https://glebekitchen.com/garlic-ginger-grilled-chicken/,-0.02322886325418949,-0.026423390954732895,-0.015146678313612938,-0.022530678659677505,0.02293855883181095,-0.015395932830870152,0.01948976330459118,0.0023780176416039467,0.0016627698205411434,0.007098730653524399
https://glebekitchen.com/tonkotsu-ramen-broth-home/,0.000970017455983907,-0.0639045238494873,-0.04237297177314758,-0.026290100067853928,0.019207213073968887,-0.03430300951004028,0.05353625863790512,0.009052029810845852,0.023897770792245865,0.04963400587439537
https://glebekitchen.com/japanese-chicken-curry-curry-rice/,-0.04198557510972023,-0.05619433894753456,-0.018282556906342506,-0.028208494186401367,0.03567077964544296,-0.014228173531591892,0.03194683417677879,-0.0012149689719080925,-0.005356388166546822,0.007310094311833382
https://glebekitchen.com/chicken-karaage-japanese-fried-chicken/,-0.02089257724583149,-0.051226381212472916,-0.019166549667716026,-0.019202161580324173,0.023737801238894463,-0.029503416270017624,0.025927124544978142,0.010577553883194923,0.009714498184621334,0.024556631222367287
https://glebekitchen.com/curry-chicken-ramen/,-0.020193830132484436,-0.051760826259851456,-0.017634326592087746,-0.024862617254257202,0.025433355942368507,-0.03211665153503418,0.02504625916481018,0.001176081015728414,0.005542151629924774,0.01684715785086155
https://glebekitchen.com/sous-vide-steak-tataki-style/,-0.022697312757372856,-0.04733603820204735,-0.016865001991391182,-0.025323744863271713,0.02867117151618004,-0.03817039355635643,0.02836689166724682,0.002531750127673149,0.011319414712488651,0.01666058972477913
https://glebekitchen.com/momofuku-pork-belly/,-0.007185598369687796,-0.026186512783169746,-0.013397465460002422,-0.012375342659652233,0.0147242471575737,-0.016041530296206474,0.013573273085057735,-0.0013186018913984299,0.0022574428003281355,0.01750839687883854
https://glebekitchen.com/gyudon-japanese-beef-bowl/,-0.05111724138259888,-0.07915183156728745,-0.02311144582927227,-0.029724042862653732,0.034870412200689316,-0.03152995929121971,0.040029969066381454,0.017896272242069244,0.004637019708752632,0.014417659491300583
https://glebekitchen.com/japadog-style-terimayo-hot-dog/,-0.03308108448982239,-0.04750075191259384,-0.01520790345966816,-0.01924721710383892,0.021112916991114616,-0.018601208925247192,0.027470583096146584,0.0012501967139542103,0.004152155481278896,0.010447535663843155
https://glebekitchen.com/japanese-miso-soup/,-0.05262705683708191,-0.08339948952198029,-0.026804517954587936,-0.031192582100629807,0.03200491517782211,-0.037612948566675186,0.03441997617483139,0.01715078204870224,0.008601867593824863,0.014757114462554455
https://glebekitchen.com/japanese-chicken-yakitori/,-0.017906267195940018,-0.031419333070516586,-0.011378049850463867,-0.015122023411095142,0.017367040738463402,-0.01679440774023533,0.014447268098592758,0.0036211914848536253,0.005671227816492319,0.010989178903400898
https://glebekitchen.com/miso-ramen-with-chashu-pork/,-0.027557887136936188,-0.06108677014708519,-0.019794872030615807,-0.0332949124276638,0.031709667295217514,-0.03801498934626579,0.027746014297008514,-0.0027767117135226727,-0.0005012855981476605,0.023180603981018066
https://glebekitchen.com/30-minute-curry-ramen/,-0.02354181371629238,-0.057636160403490067,-0.019449962303042412,-0.02719450183212757,0.026542671024799347,-0.03646305203437805,0.02595408447086811,0.0019018943421542645,0.0060957870446145535,0.019871221855282784
https://glebekitchen.com/japanese-gyoza/,-0.04621932655572891,-0.05900798738002777,-0.012562061659991741,-0.020753707736730576,0.033710777759552,-0.04424756020307541,0.03455549106001854,-0.005267075262963772,0.007417889311909676,0.016044549643993378
https://glebekitchen.com/vietnamese-chicken-curry-ca-ri-ga/,-0.011508965864777565,-0.042271971702575684,-0.016756927594542503,-0.015064304694533348,0.015867726877331734,-0.027679625898599625,0.026710262522101402,0.00843769684433937,0.014025314711034298,0.014854099601507187
https://glebekitchen.com/asian-grilled-chicken-wings/,-0.060180552303791046,-0.07895759493112564,-0.03485780209302902,-0.03940838947892189,0.03816664218902588,-0.03562535345554352,0.034468941390514374,0.011838727630674839,-0.0014346715761348605,0.01506697479635477
https://glebekitchen.com/carpaccio-asian-style/,-0.017990296706557274,-0.03462310880422592,-0.013236775062978268,-0.01753097213804722,0.015280067920684814,-0.028501901775598526,0.016152214258909225,-0.002825577277690172,0.005114235449582338,0.016686461865901947
https://glebekitchen.com/vietnamese-grilled-chicken-with-ginger-soy-noodle-salad/,-0.038138121366500854,-0.05994255095720291,-0.01899433322250843,-0.0289340578019619,0.028203504160046577,-0.03489349037408829,0.028140228241682053,0.0032685762271285057,0.0048941196873784065,0.011499002575874329
https://glebekitchen.com/vietnamese-lemongrass-chicken-noodle-bowl/,-0.041703734546899796,-0.06953871250152588,-0.02201315015554428,-0.034389007836580276,0.032011281698942184,-0.04011702910065651,0.035180795937776566,0.005389584694057703,0.011647113598883152,0.011181136593222618
https://glebekitchen.com/vietnamese-spring-rolls-with-peanut-sauce/,-0.028586341068148613,-0.05399848893284798,-0.018795745447278023,-0.028285030275583267,0.03286708891391754,-0.03963528946042061,0.030099662020802498,0.005577417556196451,0.0122860511764884,0.022266531363129616
